video_id,title,publishedAt,views,likes,comments,like_ratio,publish_hour,publish_day
dJI5NY8aZxs,Python Animation Tutorial #python #shorts #coding #cool,2025-03-13 10:16:22+00:00,38,2,0,0.05263157894736842,10,Thursday
2socU7yFLl0,Python Django Setup is easy | Python Tutorial,2025-08-28 15:45:00+00:00,419,5,0,0.011933174224343675,15,Thursday
u-OmVr_fT4s,Python Functions | Python Tutorial for Absolute Beginners #1,2018-11-06 15:00:11+00:00,1142386,19632,444,0.017185084551106195,15,Tuesday
rRTjPnVooxE,While loops in Python are easy ♾️,2022-10-22 14:02:58+00:00,622143,16086,358,0.025855791996373823,14,Saturday
Kh5jZMM8h7Y,Python CLASSES in 50 Seconds! 🔥👨‍💻 #shorts,2022-01-22 05:00:17+00:00,1075815,36745,380,0.03415550071341262,5,Saturday
bdBlnHoRHVE,Python Tkinter Add Image #like #tutorial,2023-04-26 18:25:23+00:00,57116,1637,28,0.02866097065620842,18,Wednesday
kTVGcROrDeU,Which operator can be used to compare two  values? #shorts #python #tutorial #beginners #quiz,2022-07-29 18:30:55+00:00,239,2,0,0.008368200836820083,18,Friday
KWgYha0clzw,For loops in Python are easy 🔁,2022-10-23 17:33:10+00:00,672584,14427,275,0.02145010883398951,17,Sunday
ERCMXc8x7mc,Python Tutorial for Beginners - Full Course (with Notes & Practice Questions),2024-02-12 14:24:29+00:00,9302042,151875,7927,0.016327060230431123,14,Monday
WHY3bz5_QdI,Python full course in telugu in 1 hour | Complete python course | Vamsi Bhavani,2022-03-22 15:41:18+00:00,1252889,47451,657,0.03787326730460559,15,Tuesday
W8KRzm-HUcc,"Python Tutorial for Beginners 4: Lists, Tuples, and Sets",2017-05-17 17:00:03+00:00,1659980,39800,1204,0.0239761924842468,17,Wednesday
XF6QAx-zPqQ,python graphics design👨‍💻🔥🔥|python tutorial video|Python short video software engineer|#python #100,2024-01-29 06:36:49+00:00,437,0,0,0.0,6,Monday
NiIJIU5BEBU,Python Tutorial: Introduction to spaCy,2020-03-05 16:30:13+00:00,14787,183,1,0.012375735443294785,16,Thursday
