video_id,title,publishedAt,views,likes,comments
HakXpkXcjdI,Learn Python in 2 Hours | Amit Thinks | Python Tutorial for Beginners,2022-11-24T04:45:00Z,71379,1241,37
WGJJIrtnfpk,Python Full Course - 12 Hours | Python For Beginners - Full Course | Python Tutorial | Edureka,2019-12-01T08:51:45Z,6830031,127586,1262
PtBHnMMRI0E,Python en 8 Minutos,2025-03-13T17:00:33Z,144794,7197,319
gTqV-h_v8Pw,PYTHON 2026 | Tutorial for Beginners | One SHOT Basic to Advanced | HINDI BY VIKAS SINGH ,2025-09-17T20:33:27Z,7230,545,101
th4OBktqK1I,Learn Python With This ONE Project!,2022-09-24T13:00:27Z,2194977,76763,1123
6OF7tK_NuEo,Python Full Course for Absolute Beginners | Python Tutorial | Python Training 2025 | Simplilearn,2025-09-11T18:22:48Z,2969,83,0
QUT1VHiLmmI,Python NumPy Tutorial for Beginners,2019-08-07T13:00:04Z,1971968,46472,691
rmmYbjrW0c4,"""Master Python: Your Ultimate Beginner's Guide! #pythonlanguage #pythonsoftware #pythontutorial",2025-02-02T08:33:03Z,43,1,1
feiUbnXgceg,belajar python menyenangkan,2023-05-25T03:03:48Z,139598,2311,66
rmmYbjrW0c4,"""Master Python: Your Ultimate Beginner's Guide! #pythonlanguage #pythonsoftware #pythontutorial",2025-02-02T08:33:03Z,43,1,1
T6bJ_FrVrDU,Picking Random Item From A List In Python | Python Tutorial,2024-06-05T16:00:22Z,1647,48,2
BVIoAILnZ4Q,#01 Python Programming Tutorial Series 📚| Introduction to Python 🧑‍💻| EMC ACADEMY 💪,2023-05-07T03:30:06Z,755802,21191,361
wPc6mANhIj4,I CREATE COFFEE APP IN 2 MIN USING PYTHON & LEARN PYTHON BY BUILDING SIMPLE PROJECTS,2025-05-10T16:01:23Z,171540,3292,66
uohaTwIXThE,Flask JSON Responses Made Easy | Python Tutorial,2025-01-24T17:00:59Z,1405,89,0
DInMru2Eq6E,Introduction to Python Programming | Python for Beginners #lec1,2022-08-26T14:30:02Z,1492379,25999,861
Y21OR1OPC9A,Python Virtual Environments - Full Tutorial for Beginners,2024-03-16T14:47:21Z,255866,8177,160
Qb9s3UiMSTA,Asyncio in Python - Full Tutorial,2024-04-05T14:30:26Z,237086,6956,151
